AA,"紺 / 8人（強）<br><br><img src=""yokosawa-handrange.png"">"
AKs,"紺 / 8人（強）<br><br><img src=""yokosawa-handrange.png"">"
AQs,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
AJs,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
ATs,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
A9s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A8s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A7s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A6s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A5s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A4s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A3s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
A2s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
AKo,"紺 / 8人（強）<br><br><img src=""yokosawa-handrange.png"">"
KK,"紺 / 8人（強）<br><br><img src=""yokosawa-handrange.png"">"
KQs,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
KJs,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
KTs,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
K9s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
K8s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K7s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K6s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K5s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K4s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K3s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
K2s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
AQo,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
KQo,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
QQ,"紺 / 8人（強）<br><br><img src=""yokosawa-handrange.png"">"
QJs,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
QTs,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
Q9s,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
Q8s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
Q7s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
Q6s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
Q5s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
Q4s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
Q3s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
Q2s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
AJo,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
KJo,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
QJo,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
JJ,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
JTs,"黄 / 8人（弱）<br><br><img src=""yokosawa-handrange.png"">"
J9s,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
J8s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
J7s,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
J6s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
J5s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
J4s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
J3s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
J2s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
ATo,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
KTo,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
QTo,"白 / 3人<br><br><img src=""yokosawa-handrange.png"">"
JTo,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
TT,"赤 / 8人（中）<br><br><img src=""yokosawa-handrange.png"">"
T9s,"緑 / 6〜7人<br><br><img src=""yokosawa-handrange.png"">"
T8s,"水色 / 4〜5人<br><br><img src=""yokosawa-handrange.png"">"
T7s,"紫枠 / 2人<br><br><img src=""yokosawa-handrange.png"">"
T6s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
T5s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
T4s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
T3s,"ピンク / BBのみBTNのレイズにコール<br><br><img src=""yokosawa-handrange.png"">"
